ORCID ID,school
0000-0001-6333-1067,McGill
0000-0003-2469-541X,McGill
0000-0002-6362-7367,McGill
0000-0002-1390-3597,McGill
0000-0002-2703-8258,McGill
0000-0002-5253-2565,McGill
0000-0003-3507-984X,McGill
0000-0002-1144-768X,McGill
0000-0002-5304-0036,McGill
0000-0003-4939-3928,McGill
0000-0001-6093-3169,Dalhousie
0000-0001-6373-128X,Dalhousie
0000-0002-4762-8175,Dalhousie
0000-0001-9660-0278,Dalhousie
0000-0003-1323-0908,Dalhousie
0000-0002-5440-1817,Dalhousie
0000-0003-1479-7826,Dalhousie
0000-0002-8275-5241,Dalhousie
0000-0003-0835-2089,Dalhousie
0000-0002-8304-5647,Dalhousie
0000-0003-3619-9448,UBC
0000-0002-9676-7921,UBC
0000-0002-7564-1182,UBC
0000-0001-9509-4991,UBC
0000-0001-7826-5111,UBC
0000-0001-8845-5656,UBC
0000-0002-0781-4571,UBC
0000-0002-2203-1356,UBC
0000-0002-8018-190X,UBC
0000-0001-9394-9458,UBC